	"taxaname"	"ng"	"Ngenes"	"G0"	"Ngenes/G0"	"Gcore"	"Gcore/G0"	"Gpan"	"Gpan/G0"	"dprot"
1	"\emph{Staph.~aureus} "	15	2667.66666666667	2212.46666666667	1.20574321270377	1532	0.692439810769277	5522	2.49585681140206	0.00312893333333334
2	"\emph{Strep.~pyogenes} "	13	1853	1593.38461538462	1.16293328183837	1043	0.654581442502655	4096	2.57062856039394	0.00636761538461539
3	"\emph{Strep.~pneumoniae} "	14	2129.35714285714	1786.57142857143	1.19186790340636	1141	0.638653446345754	5509	3.0835598912522	0.00760485714285715
4	"\emph{B.~cereus} group "	19	5501.68421052632	4332.78947368421	1.26977879814876	2246	0.518372751235985	18111	4.17998615210816	0.0248396842105263
5	"\emph{Listeria spp.} "	9	2887.55555555556	2330	1.23929422985217	1718	0.737339055793991	4430	1.90128755364807	0.0571177777777778
6	"\emph{Staph.~spp.} "	22	2619.5	2184.90909090909	1.19890571690106	994	0.454938836648082	9473	4.33564949654656	0.329727727272727
7	"\emph{Strept.~spp.} "	50	2000.48	1693.02	1.18160447011849	487	0.287651652077353	16583	9.79492268254362	0.35532336
8	"``Bacillaceae 1''"	38	4684.07894736842	3718.23684210526	1.2597580913421	929	0.249849603306604	32260	8.67615522354257	0.426122921052632
9	"Lactobacillales "	31	2152.03225806452	1736.25806451613	1.23946566587396	356	0.205038644470868	16357	9.42083457193817	0.899109322580645
10	"Bacilli "	172	2983.66279069767	2417.08139534884	1.23440724687183	143	0.0591622608469757	97860	40.486845080315	1.1358726744186
