	"Taxonomic group "	"$G_{ess}$"	" $\theta_1$ "	" $\rho_1$ "	" $\theta_2$ "	" $\rho_2$"	"$f_{ess}$"	" $f_{slow}$"	" $f_{fast}$ "	" $G_{new}(100)$ "	" $G_{pan}(100)$ "	" $G_{core}(100)$ \bigstrut \\ \hline "
1	"\emph{Staph.~aureus}"	0.000278467882383386	159.134573701292	0.0794848171792906	32251.7250859842	153.294017688679	0	0.904906336071914	0.0950935380650002	129.440017958263	19044.6237841067	1333.27049229952
2	"\emph{Strep.~pyogenes}"	716.32655964349	174.871315533235	0.25219642125965	12468.4839052362	67.8871984520179	0.449562869333078	0.435170090172372	0.11526704049455	76.4739337686951	13598.3264677496	913.161434291551
3	"\emph{Strep.~pneumoniae}"	940.916271289182	202.857116671967	0.351423859692945	17697.4973183967	65.9341451664542	0.526660314970756	0.32310123622064	0.150238448808604	109.342199141414	18889.6470677843	1042.98389386112
4	"\emph{B.~cereus}~group"	0.00015754183583405	482.102285906406	0.134621699689591	61701.9288128562	82.091259218309	0.0000000363603717168586	0.826526026483646	0.173473937155983	345.585950848268	55343.9248605479	1808.7174188187
5	"\emph{Listeria~spp.}"	821.333264880938	166.005909225384	0.131208661640132	6577.95528353998	27.0184819713403	0.352503547159201	0.543006615956323	0.104489836884476	53.872945681931	13191.4667689021	1471.29513532963
6	"\emph{Staph.~spp.}"	0.00000196985263984535	334.539835145455	0.177589293625296	124898.835110191	414.773655599618	0.000000000901571899737823	0.862179489353293	0.137820509745135	246.474033645212	30536.3518628578	769.210286057902
7	"\emph{Strep.~spp.}"	532.820574234898	905.587052449992	1.05343526910516	27190.1107554587	90.4684243661866	0.314716054290498	0.507762076740933	0.177521868968569	152.558380206043	25476.0467711808	539.699754555866
8	"``Bacillaceae~1''"	901.466544580763	2256.4285545102	1.02852296610945	140568.308528226	225.661396810578	0.242444627080386	0.590025176697343	0.167530196222271	455.526815069883	64162.7207825066	920.94024645775
9	"``Lactobacillaceae''"	366.502050168454	909.562098295264	1.10024815925182	20531.8409438294	37.8071355478365	0.211087313377342	0.476132063215725	0.312780623406933	159.165240356833	31698.8972855935	371.951994041849
10	"Bacilli"	237.56556312677	4192.8530591973	2.55467427896682	250857.024517688	466.044650203728	0.0982861245731792	0.679020414838077	0.222693460588744	485.246306447203	65384.5280593938	237.609744904789
												
												
	"\emph{Staph.~aureus}"	0.000278467882383386	2002.07510501457	210.39128318421								
	"\emph{Strep.~pyogenes}"	716.32655964349	693.393326756193	183.664728984933								
	"\emph{Strep.~pneumoniae}"	940.916271289182	577.243437167904	268.411720114342								
	"\emph{B.~cereus}~group"	0.00015754183583405	3581.16326727438	751.626048867998								
	"\emph{Listeria~spp.}"	821.333264880938	1265.20541517824	243.461319940828								
	"\emph{Staph.~spp.}"	0.00000196985263984535	1883.78380428336	301.125284655871								
	"\emph{Strep.~spp.}"	532.820574234898	859.651351163933	300.548074601167								
	"``Bacillaceae~1”"	901.466544580763	2193.85334976573	622.916947758771								
	"Lactobacillales"	366.502050168454	826.688134533009	543.06787981467								
	"Bacilli"	237.56556312677	1641.24761176717	538.268220454902								
